flow,bandwidth,throughput
c3 -> s3,8,7.975824875034917
c3 -> s3,9,8.9617866274752
c3 -> s3,10,9.518990786134797
c1 -> s1,1,1.0272907561666411
c1 -> s1,2,2.0713710133109102
c1 -> s1,3,3.011003018419678
c1 -> s1,4,4.0301046100879985
c1 -> s1,5,4.994744329722814
c1 -> s1,6,5.9991517730103965
c1 -> s1,7,6.978365061019274
c1 -> s1,8,7.974029377848374
c1 -> s1,9,8.962184602434455
c1 -> s1,10,9.521982326226041
c2 -> s2,1,1.027313975251231
c2 -> s2,2,2.0718553893035865
c2 -> s2,3,3.009772538101991
c2 -> s2,4,4.032088910351741
c2 -> s2,5,4.994710014629629
c2 -> s2,6,5.9977165266137655
c2 -> s2,7,6.97824902765964
c2 -> s2,8,7.975959011380222
c2 -> s2,9,8.961976687340133
c2 -> s2,10,9.519095224614139
c3 -> s3,1,1.0274144328993509
c3 -> s3,2,2.0713691571095243
c3 -> s3,3,3.011000620012679
c3 -> s3,4,4.032067641069265
c3 -> s3,5,4.9946508346346805
c3 -> s3,6,5.99758348702206
c3 -> s3,7,6.97839493849706
c3 -> s3,8,7.975812175969743
c3 -> s3,9,8.961990072141509
c3 -> s3,10,9.520966082096916
