flow,bandwidth,throughput
c1 -> s1,8,7.975910594782572
c1 -> s1,9,8.961976687340133
c1 -> s1,10,9.52229895441471
c2 -> s2,1,1.0272978138390316
c2 -> s2,2,2.071329765175664
c2 -> s2,3,3.010973937992511
c2 -> s2,4,4.032023096695317
c2 -> s2,5,4.994894028615306
c2 -> s2,6,5.999962982651003
c2 -> s2,7,6.978294884693908
c2 -> s2,8,7.978035106930184
c2 -> s2,9,8.961973118066519
c2 -> s2,10,9.524016648020796
c3 -> s3,1,1.0272836985912244
c3 -> s3,2,2.071361319851459
c3 -> s3,3,3.010988628034996
c3 -> s3,4,4.028812128740465
c3 -> s3,5,4.9946384020408905
c3 -> s3,6,6.000014926479625
c3 -> s3,7,6.978260839262356
c3 -> s3,8,7.975785984275538
c3 -> s3,9,8.962110537153054
c3 -> s3,10,9.516289541606358
c1 -> s1,1,1.027292495004459
c1 -> s1,2,2.071333064966029
c1 -> s1,3,3.01101531031552
c1 -> s1,4,4.029744521733418
c1 -> s1,5,4.994602596516584
c1 -> s1,6,6.000031644224974
c1 -> s1,7,6.978419257563197
c1 -> s1,8,7.975753443319336
c1 -> s1,9,8.962026657469263
c1 -> s1,10,9.516794468568495
c2 -> s2,1,1.0272850282719324
c2 -> s2,2,2.071345233033866
c2 -> s2,3,3.0110117126770803
c2 -> s2,4,4.03156767691685
c2 -> s2,5,4.994682662356826
c2 -> s2,6,5.999149384538008
c2 -> s2,7,6.978486657003753
c2 -> s2,8,7.975841542619325
c2 -> s2,9,8.962003456982865
c2 -> s2,10,9.51911803460633
c3 -> s3,1,1.027299450414596
c3 -> s3,2,2.0713299714122537
c3 -> s3,3,3.011119645570134
c3 -> s3,4,4.0327266917485955
c3 -> s3,5,4.994669732295783
c3 -> s3,6,5.9999576092028235
c3 -> s3,7,6.978286547006486
c3 -> s3,8,7.97575661803508
c3 -> s3,9,8.961979364297209
c3 -> s3,10,9.518880254529224
