flow,bandwidth,throughput
c2 -> s2,10,1.974617476390139
c3 -> s3,1,1.0273893677974928
c3 -> s3,2,2.071580166637938
c3 -> s3,3,3.010987428842481
c3 -> s3,4,4.03155283236488
c3 -> s3,5,4.99472095562263
c3 -> s3,6,5.99758348702206
c3 -> s3,7,6.97836228173202
c3 -> s3,8,7.9758994828594885
c3 -> s3,9,8.962002564658865
c3 -> s3,10,9.517493719055429
c1 -> s1,1,1.0274059413196992
c1 -> s1,2,1.027679921380775
c1 -> s1,3,0.9740033075482549
c1 -> s1,4,0.9582448010191755
c1 -> s1,5,0.9603926339726482
c1 -> s1,6,0.9711555569937547
c1 -> s1,7,0.966159603479507
c1 -> s1,8,0.9676921068727418
c1 -> s1,9,0.978078826930535
c1 -> s1,10,0.9665436274220863
c2 -> s2,1,1.0268860739739267
c2 -> s2,2,2.071338633386111
c2 -> s2,3,2.181230832311671
c2 -> s2,4,1.9861601583459978
c2 -> s2,5,1.9699817194836848
c2 -> s2,6,1.9723293364951182
c2 -> s2,7,1.9654243426368485
c2 -> s2,8,1.9769217136063753
c2 -> s2,9,1.970355475128326
c2 -> s2,10,1.9665391864699069
c3 -> s3,1,1.0273031327286812
c3 -> s3,2,2.0713555450676764
c3 -> s3,3,3.0109742377878637
c3 -> s3,4,4.032202484092098
c3 -> s3,5,4.9946672457532575
c3 -> s3,6,5.999169089492087
c3 -> s3,7,6.978326846013601
c3 -> s3,8,7.975731220379884
c3 -> s3,9,8.961979364297209
c3 -> s3,10,9.510285289154309
c1 -> s1,1,1.027303644163281
c1 -> s1,2,1.0274688693580192
c1 -> s1,3,0.974621262508752
c1 -> s1,4,0.96307673497169
c1 -> s1,5,0.9573108568983201
c1 -> s1,6,0.980987343769949
c1 -> s1,7,0.958480848861026
c1 -> s1,8,0.9697778602449515
c1 -> s1,9,0.973524569832884
c1 -> s1,10,0.957311238165561
c2 -> s2,1,1.0273012915683388
c2 -> s2,2,2.071332240017452
c2 -> s2,3,2.176267675419184
c2 -> s2,4,1.9899530876693772
c2 -> s2,5,1.9676798472238886
c2 -> s2,6,1.9700238916328505
c2 -> s2,7,1.9723030215048563
c2 -> s2,8,1.9642212479440575
c2 -> s2,9,1.9780621113510244
c2 -> s2,10,1.972802703843856
c3 -> s3,1,1.0273002687043338
c3 -> s3,2,2.071326877867719
c3 -> s3,3,3.0110123122828902
c3 -> s3,4,4.029947056872629
c3 -> s3,5,4.994664759213207
c3 -> s3,6,5.999145204715907
c3 -> s3,7,6.978345606054995
c3 -> s3,8,7.9758407489232495
c3 -> s3,9,8.96203825775751
c3 -> s3,10,9.52317596088166
c1 -> s1,1,1.0273030304418225
c1 -> s1,2,1.02766314044225
c1 -> s1,3,0.9699965639410153
c1 -> s1,4,0.966546514529275
c1 -> s1,5,0.9734604012866103
c1 -> s1,6,0.9592342598109914
c1 -> s1,7,0.978076976613729
c1 -> s1,8,0.9594677410812664
c1 -> s1,9,0.967544231484857
c1 -> s1,10,0.9756500250730463
c2 -> s2,1,1.027299041270216
c2 -> s2,2,2.0713388396244667
c2 -> s2,3,2.1789259662699165
c2 -> s2,4,1.982716729405397
c2 -> s2,5,1.975761431744083
c2 -> s2,6,1.963092291574441
c2 -> s2,7,1.9780628991534972
c2 -> s2,8,1.9665329207515128
c2 -> s2,9,1.97463890701603
c2 -> s2,10,1.958492133972927
c3 -> s3,1,1.027306303631408
c3 -> s3,2,2.0713285277569877
c3 -> s3,3,3.0110066160373417
c3 -> s3,4,4.0304987475249465
c3 -> s3,5,4.994697084426968
c3 -> s3,6,5.998332638516448
c3 -> s3,7,6.97844079744904
c3 -> s3,8,7.975818525497274
c3 -> s3,9,8.961986502857231
c3 -> s3,10,9.52190128712876
c1 -> s1,1,1.0268818836338252
c1 -> s1,2,1.0345997068110035
c1 -> s1,3,0.9561577559296275
c1 -> s1,4,0.9688643054688196
c1 -> s1,5,0.9596215474679657
c1 -> s1,6,0.9780698675669117
c1 -> s1,7,0.9642291602280005
c1 -> s1,8,0.969993376821424
c1 -> s1,9,0.9732741471765043
c1 -> s1,10,0.9653855241277978
c2 -> s2,1,1.0273072242197372
c2 -> s2,2,2.071335952291223
c2 -> s2,3,2.181188048030431
c2 -> s2,4,1.9838624385247965
c2 -> s2,5,1.9688353915250587
c2 -> s2,6,1.9723016468604848
c2 -> s2,7,1.9688353915250587
c2 -> s2,8,1.9703409634688254
c2 -> s2,9,1.968838528040426
c2 -> s2,10,1.9715219432718065
c3 -> s3,1,1.0272803232633476
c3 -> s3,2,2.0713510077601502
c3 -> s3,3,3.01093166744544
c3 -> s3,4,4.032048779817812
c3 -> s3,5,4.994660780754277
c3 -> s3,6,5.996752914029828
c3 -> s3,7,6.978379652313673
c3 -> s3,8,7.9758145570413825
c3 -> s3,9,8.962123030006255
c3 -> s3,10,9.51927899182727
